clasificacion1,clasificacion2,nombreDispositivo,op,paginas,rubro,sector,sumilla,tipoDispositivo,urlPDF,urlPortada,fechaPublicacion
Ordenanzas,,Nº 361-2024/MDSB,2330303-1,3,825,1369,"Ordenanza que aprueba el régimen tributario de los arbitrios: recolección de residuos sólidos, barridos de calles y vías públicas, parques y jardines públicos y serenazgo para el año 2025",Ordenanzas,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/BEbkgSjAq3xBEeev8OGWWq/*/2330303-1.pdf/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/BEbkgSjAq3xBEeev8OGWWq/*/2330303-1_thumb.jpg/JPG,20241019
ORDENANZA,,N° 527/MDSJM,2333255-1,5,825,1373,"Regulan el plástico de un solo uso y los recipientes, o envases descartables ",ORDENANZA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/6ZkUhy7xqXf89OIfkCQ84f/*/2333255-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/6ZkUhy7xqXf89OIfkCQ84f/*/2333255-1_thumb.jpg/JPG,20241019
Ordenanzas,,N° 376 - MDVMT,2334795-1,3,825,1383,Ordenanza que prohíbe el ingreso de flores naturales al Cementerio Municipal Virgen de Lourdes en el distrito de Villa María del Triunfo,Ordenanzas,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/6O3nI6rXKQd92Up2lCT9Zx/*/2334795-1.pdf/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/6O3nI6rXKQd92Up2lCT9Zx/*/2334795-1_thumb.jpg/JPG,20241019
ACUERDO,,N° 045-2024-MDC,2331299-1,1,825,1748,Autorizan viaje de regidores para participar en evento a realizarse en Ecuador,ACUERDO,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/4i5_0RBG4vn9qDQoTmAGZ3/*/2331299-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/4i5_0RBG4vn9qDQoTmAGZ3/*/2331299-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 621-2024-CG,2336220-1,2,606,1984,Designan Jefe del Órgano de Control Institucional de la Municipalidad Provincial del Callao,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/2COJEYNLqrk8oHkJR4_Ifg/*/2336220-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/2COJEYNLqrk8oHkJR4_Ifg/*/2336220-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 620-2024-CG,2336200-1,2,606,1984,Designan Jefe del Órgano de Control Institucional del Jurado Nacional de Elecciones – JNE,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/0pr1Qgu_Kp3Axk6xo0HVyY/*/2336200-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/0pr1Qgu_Kp3Axk6xo0HVyY/*/2336200-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 622-2024-CG,2336204-1,2,606,1984,Designan Jefe del Órgano de Control Institucional del Gobierno Regional del Callao,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/BjytpQXP4Iu9D5q6ogsBaP/*/2336204-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/BjytpQXP4Iu9D5q6ogsBaP/*/2336204-1_thumb.jpg/JPG,20241019
RESOLUCION JEFATURAL,,N° 000161-2024/JNAC/RENIEC,2335987-1,2,606,1989,"Autorizan, hasta el 31 de diciembre de 2024, la gratuidad de trámites Documento Nacional de Identidad electrónico para servidores del Registro Nacional de Identificación y Estado Civil - RENIEC (DNIe emitidos por primera vez)",RESOLUCION JEFATURAL,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/6IJYoSLTKWzAr6Lqi5sFpo/*/2335987-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/6IJYoSLTKWzAr6Lqi5sFpo/*/2335987-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 2295-2024-MP-FN,2336077-2,2,606,1990,Nombran fiscal adjunto provincial provisional del Distrito Fiscal de Lambayeque,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/AujBK_v0qkNBXaS22g9qB1/*/2336077-2.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/AujBK_v0qkNBXaS22g9qB1/*/2336077-2_thumb.jpg/JPG,20241019
RESOLUCION,,N° 2294-2024-MP-FN,2336077-1,1,606,1990,Nombran fiscal adjunto provincial provisional transitorio del distrito Fiscal de Lima Este,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/3KhcWsuuaFQBaTebqmdm4n/*/2336077-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/3KhcWsuuaFQBaTebqmdm4n/*/2336077-1_thumb.jpg/JPG,20241019
RESOLUCION,,N° 0130-2024-INGEMMET/PE,2335534-1,2,8938,2020,"Aprueban modificación del Manual de Clasificador de Cargos del Instituto Geológico, Minero y Metalúrgico – INGEMMET",RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/3WU9Uf-5aJc9YHeYhJbh7b/*/2335534-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/3WU9Uf-5aJc9YHeYhJbh7b/*/2335534-1_thumb.jpg/JPG,20241019
FE DE ERRATA,,Res. N° 173-2024-OS/CD,2336075-1,2,8937,2031,.,FE DE ERRATA,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/4J56e7Ak46kB-mfC-IeeyY/*/2336075-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/4J56e7Ak46kB-mfC-IeeyY/*/2336075-1_thumb.jpg/JPG,20241019
RESOLUCION,,Nº 00206-2024-SUNASS-GG,2335459-1,2,8937,2043,Aprueban la cuarta modificación del Manual del Clasificador de Cargos de la Superintendencia Nacional de Servicios de Saneamiento ,RESOLUCION,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/file/DSrB3sxZ45Q98gD4TAHanJ/*/2335459-1.PDF/PDF,https://busquedas.elperuano.pe/api/media/http://172.20.0.101/thumbnail/DSrB3sxZ45Q98gD4TAHanJ/*/2335459-1_thumb.jpg/JPG,20241019
